surface,count,rank
tab supracal 1 gm,2,260
tab metoprolol,2,261
tab spirolactone,2,262
tab fuso myun,2,263
cap d-rise,2,264
syp ascoril-d,2,265
tab metformin,2,266
tab shelcal 500,2,267
syp sucral-o / sucralfate-o,2,268
tab jonivut,2,269
cap. bijilac hp,2,270
c. irazole dsr,2,271
ors,2,272
inj tramadol,2,273
cap razo-l,2,274
syp surobet,2,275
tab nexito-plus,2,276
tab met xl,2,277
cap inicovit-od,2,278
ivf ns/dns,2,279
tab levocet-am,2,280
tab ecosprin-av,2,281
tb. tryptomer,2,282
t. telma ln,2,283
tb. augmentin,2,284
drotin m,2,285
tb dalo,2,286
cap omez d plus,2,287
tab levocet m,2,288
fosfomycin,2,289
tab azee 500,2,290
tab ipalin,2,291
syp sucrotex-o,2,292
cap ical 60k,2,293
cap razo d,2,294
cap redotil,2,295
syp. sucrafil-o,2,296
sachet fosfomycin 3 g,2,297
tab hairbless,2,298
tab triscovit od,2,299
cap irisocvit-od,2,300
tab hcq 200 mg,2,301
tab iriscefer-xt,2,302
tab atorvas 20 mg,2,303
mdi foracort 200,2,304
inj arachitol 6 lac iu,2,305
cap razo dsr,2,306
tab ab-flo-n,2,307
tab naprox 250 mg,2,308
tab dytor 5 mg,2,309
tab wysolone,2,310
cap omez-d plus,2,311
tab dytor plus,2,312
tab udapa trio forte,2,313
cap d-rise 60k,2,314
inj hir actrapid,2,315
pr looz enema,2,316
cap econorm,2,317
inj tazsuvar,2,318
tab pan 40,2,319
tab fenur,2,320
k-bind sachet,2,321
tab rosuta-f,2,322
tab lasix,2,323
tab himcee,2,324
tab isonibride / isoniazid [unclear],2,325
tab wysolone / wycortone [unclear],2,326
tab metxl,2,327
tab telma-cn [partially unclear],2,328
tab telma am 40/5,2,329
tab metpure xl 12.5 mg,2,330
thyronorm,1,331
syp. livol,1,332
tab. razo d,1,333
tab. asytip sp,1,334
t. radifrac plus,1,335
t. caliska-ds,1,336
syp dhoopflo-d3,1,337
t. nurivita-d3,1,338
triscovit [unclear],1,339
dytor-plus,1,340
nefita,1,341
tab acithp mr [unclear],1,342
tab zetrole dsr [unclear],1,343
escoplast cec [unclear],1,344
cap razo-d [partially unclear],1,345
tab domelion forte / domperidone forte [unclear],1,346
tab zerodol-th,1,347
syp guaifenesin ls,1,348
syp mucaine gel [partially unclear],1,349
cap enzyme d [partially unclear],1,350
augmentin duo / augmentin [unclear],1,351
augmentin d / augmentin duo [unclear],1,352
pan,1,353
emeset,1,354
mol,1,355
alkasol,1,356
irazole-dsr [partially unclear],1,357
levobeta-m,1,358
disperzyme,1,359
finotrust-az [partially unclear],1,360
defort,1,361
tab dazit-m,1,362
minetop 5% scalp serum,1,363
tab bilazest-m / bilagem-m [unclear],1,364
t. shelcal ct,1,365
tab calsika cm,1,366
tab augmentin 625,1,367
tab levoseta-m,1,368
tab nurobion forte,1,369
tab iriscofer xt,1,370
tab autrin-mr [partially unclear],1,371
tab ebast-m [unclear],1,372
cap doxy,1,373
cap norflox-oz,1,374
cap redotil 100 mg,1,375
tab tenofovir alafenamide,1,376
tab linaka-m er 5/500,1,377
tab amaryl 2 mg,1,378
tab telma 20 mg,1,379
cap neurokind next,1,380
tab nephro save forte,1,381
tab normaxin,1,382
tab glycomet gp1,1,383
cap iriscovit plus,1,384
tab etosone-mr,1,385
gabanesic gel la,1,386
tab ical,1,387
tab caldikind-cm,1,388
t. naxdom,1,389
tab nervigo save forte,1,390
inj hir acid ss,1,391
tab onden-md,1,392
tab. ebast-m,1,393
tab glucomet gp1,1,394
tab cidmus,1,395
cap lysa,1,396
tab amlong,1,397
symbicort turbuhaler,1,398
syp aswas,1,399
cap gapa-d,1,400
syp grilinctus,1,401
iv iron sucrose,1,402
syp bondryl,1,403
tab folivite,1,404
tab ciplar-la,1,405
tab thyrowel plus,1,406
tab amlovas,1,407
tab rtelma,1,408
tab uvert plus,1,409
tab o-sedurol,1,410
tab montair-fx,1,411
sachet eco norm,1,412
... bsr,1,413
tab trisovit,1,414
tab calbina cm,1,415
inis count/plot,1,416
rabium dsr,1,417
altraday,1,418
togatromm,1,419
coxad d,1,420
t. drotin m,1,421
tab lenobeta m,1,422
cap. lyso ls drug,1,423
tb. wygilow,1,424
tb montair - lc,1,425
cap ...,1,426
tb azec,1,427
tb limcee,1,428
foshan-av,1,429
inj hmr act,1,430
cap iresuvin-od,1,431
tab. etosone-mr,1,432
rl,1,433
inj,1,434
tabs a to z,1,435
tab ical 60k,1,436
syp. sucral-o,1,437
cap. fezole dsr,1,438
t. me 12 od,1,439
tab calcika-cm,1,440
tab pan dsr,1,441
tab aldigesic,1,442
cap lysa-d,1,443
tab carni-t,1,444
tb. ultracet,1,445
neurokind next,1,446
tb. drotin ds,1,447
tab nimovix-mr,1,448
inj regular insulin,1,449
tab clopidogrel,1,450
inj mvi,1,451
iv fluid,1,452
tab calisco cm,1,453
syp sucralfer o,1,454
tb. noadium,1,455
tb. colospa cm,1,456
syp. alex p,1,457
tab nsqod 10,1,458
tb. valivir,1,459
tb. pregaba-nt,1,460
tab gabica cm,1,461
t. telma,1,462
t. inicint plus,1,463
t. amlodac mr,1,464
inj pantocid,1,465
syp. asuwas,1,466
tb. montek lc,1,467
cap omcz-d,1,468
azl,1,469
becadex,1,470
udiliv,1,471
cyra d,1,472
lariseca cm,1,473
t. glycomet sr,1,474
tab iris conti,1,475
cap leyco d,1,476
tab cipla-la,1,477
tab thyrowell plus,1,478
syp of2-d +,1,479
tab me1200,1,480
t. amovas,1,481
tab valt ?,1,482
inj monocef ?,1,483
inj pantop ?,1,484
inj h/r,1,485
t. planedon mr,1,486
t. mont gtn,1,487
tb. montair,1,488
tb salo,1,489
cap ursa d,1,490
tab iriscont,1,491
syp mucain gel,1,492
t. intacovit plus,1,493
cap omez d?,1,494
syp. alex,1,495
t. calcirol 60k,1,496
tab. thyronorm,1,497
tb. glycomet sr,1,498
tb. dapa,1,499
tb. me 12 od,1,500
syp. creamaffin plus,1,501
cap. befilac hp,1,502
cap. razo d,1,503
tab. shecal ct,1,504
cap. uprise d3 60k,1,505
tab irazule dsr,1,506
cap rifilin,1,507
cap omez d,1,508
calpol,1,509
cyp. retiwofer syrup,1,510
s. feroliv,1,511
s. remstron,1,512
syp. 100?,1,513
gabagesic gel,1,514
tab ebastine-m,1,515
tab cifran,1,516
syp. alex sual,1,517
cap. lyra d,1,518
t. irisovit plus,1,519
t. caldikem cm,1,520
tab oflox oz,1,521
bismuth quadrile kit,1,522
tb amlong t 5,1,523
zerodol sp,1,524
t. zerodol sp,1,525
cap coyra d,1,526
tab ond em-md,1,527
cap lyzea-d,1,528
tb. dolo 650mg,1,529
tb. montair-lc,1,530
tb. montair f,1,531
syp. resvin,1,532
zifi cv,1,533
macodens,1,534
tb shelcal hd,1,535
tb body pain,1,536
tb. cyra-d,1,537
tb. mimcer,1,538
t. ucet plus,1,539
t. o-soluati,1,540
t. caliska mxl,1,541
k mac uti,1,542
looz syrup,1,543
cap omz dsr,1,544
syp sucrabet o,1,545
tab drota n,1,546
syp sompizil,1,547
tb unienzym,1,548
inj pam,1,549
tb laxen,1,550
cap gaba pig 100,1,551
inj insulin,1,552
tab. acemiz-mr,1,553
tab. pan 40,1,554
tab. becamine-mn sr,1,555
sypi grylinctus,1,556
tab neomercazole,1,557
tab ciplar la,1,558
cap becosules,1,559
asthalin rotacap,1,560
tb. limcee,1,561
syr. asu?ls,1,562
tb. calshine cm,1,563
cap ...-d,1,564
protien powder,1,565
tab methotrexate,1,566
tab folvite,1,567
tab hcq,1,568
mdi duovia,1,569
tab glycomet-sr,1,570
protein powder,1,571
cap renzol-dsr,1,572
tab migr-od,1,573
cap ecosprin gold,1,574
tab. ivadan mr,1,575
tab met-xl,1,576
tab calsise-cm,1,577
tab inscovit,1,578
iv fluid dns/rl,1,579
tab riscout-od,1,580
tab. cykap-d,1,581
tab dyt0r,1,582
tab suc p,1,583
syp sucr-o,1,584
thyroxine,1,585
cap cura-d,1,586
tab tricount-od,1,587
tab dow,1,588
t. augmentin 625 mg,1,589
t. 1-? levit plus,1,590
t. cetirizine,1,591
t. hc 12,1,592
t. folicite,1,593
tab. augmentin,1,594
tab. pan 40 mg,1,595
tab. benalgis-mn sr,1,596
inj levof,1,597
inj emal,1,598
syp. ranvo,1,599
tb. dolo 650,1,600
t. carca,1,601
tb udiliv,1,602
tab montas lc,1,603
cap omiz d+,1,604
tab ipnan,1,605
inj prazole dsr,1,606
cap cyra-o,1,607
tab ferrox-xt,1,608
tab caliska ds,1,609
cap ical,1,610
e-syringe,1,611
tab trypitomer,1,612
razo-d,1,613
iv fluid ns,1,614
ors solution,1,615
tab ubanin-nt,1,616
cap iriscout plus,1,617
tab nephrosave-forte,1,618
syp cremaffin-plus,1,619
tab sitared-m 50/500,1,620
tab bandy-plus,1,621
tab tenvir-af,1,622
tab arurit-u,1,623
tab benadon,1,624
t-bact ointment,1,625
tab xtradol-sp,1,626
