surface,count,rank
tab montair-lc / monloff-lc,1,1100
inj rantac / rantac amp,1,1101
cap urimax-d,1,1102
steam inhalation with karvol plus capsule,1,1103
tab histovit plus,1,1104
cap pan-d / pantop-d,1,1105
tab nitrofurantoin / urinary antibiotic,1,1106
cap neurobion / nurobion,1,1107
tab azax / azee 500,1,1108
tab augxa / augmentin,1,1109
cap nimbion / neurobion,1,1110
isabgol,1,1111
tab telma ct 40/6.25 mg,1,1112
tab cal 123,1,1113
tab telma ln 40/10 mg,1,1114
tab pregaba nt 75/10 mg,1,1115
inj drotin amp,1,1116
tab calshica-cm,1,1117
tab vildagliptin-m 50/500 mg,1,1118
tab neurobion / vitamin medicine,1,1119
candid-cl pessary,1,1120
tab irisocvit,1,1121
tab meftal 400 mg,1,1122
cap pan-40 mg,1,1123
tab myamac / myorac 200,1,1124
tab oha as prescribed,1,1125
tab janumet 50/1000 mg,1,1126
cap duzela / duzet,1,1127
tab pantop dsr / pantop d,1,1128
tab irisovit / ironovit,1,1129
tab riztril-md / rizatriptan md,1,1130
cap pan dsr 40 mg,1,1131
tab me-d / md-d,1,1132
tab pregaba-m 75 mg,1,1133
cap neurobion forte,1,1134
tab irazole dsr 40 mg,1,1135
tab martifur / nitrofurantoin,1,1136
syp ketrason alka / ketrasol alka,1,1137
tab irisocvit plus,1,1138
syp rapitus,1,1139
tab zifi-o 200 mg,1,1140
tab nimbion alfa d3 / nimbion,1,1141
tab thyronorm 100 mcg,1,1142
tab iriscovit / iriscout,1,1143
tab udiliv / ursodeoxycholate,1,1144
cap doxycycline 100 mg,1,1145
tab meftal forte,1,1146
tab levocet / levocet 75,1,1147
tab prucal / prucalopride,1,1148
tab livoment-od,1,1149
inj augmentin 1.2 gm,1,1150
cap nurokind next,1,1151
tab vertin 8 mg,1,1152
tab me 12 od,1,1153
tab calciha cm,1,1154
tab iriscont plus,1,1155
tab distihip 20 mg,1,1156
t hydrochlorothiazide 10 mg,1,1157
t fludrocortisone 0.05 mg,1,1158
t sompraz,1,1159
t acurit-4,1,1160
tab naprosyn 500 mg,1,1161
tab vild/m 50/100,1,1162
tab nitrofurantoin,1,1163
tab silobon 140 mg,1,1164
syp cough medicine,1,1165
tab rbclean / robclean 675,1,1166
tab trental / trental 400,1,1167
tab ecosprin / antiplatelet,1,1168
tab telma-am 40/10,1,1169
tab levocet-m / levocet,1,1170
syp rapitus dm,1,1171
tab levocet / montair,1,1172
tab cylden / cyra-d,1,1173
syp sucralfil,1,1174
cap pan-d / irazole dsr,1,1175
tab imecal / calcium medicine,1,1176
tab tranexa / tranexamic acid,1,1177
tab metrogyl / meb 400 mg,1,1178
syp sucral,1,1179
cap bifilac hp / probiotic,1,1180
kabipro protein powder,1,1181
t. radifree plus,1,1182
t. caliska ds,1,1183
t. nuravita d3,1,1184
syp dhoop flo d3,1,1185
inj mono cef,1,1186
tab shelcal-cz,1,1187
kabi-pro protein powder,1,1188
tab gabapin nt 300,1,1189
cap corus od,1,1190
tab acif sr,1,1191
t naxdom 500 mg,1,1192
t ofiska 500 mg,1,1193
t tryptomer 10 mg,1,1194
syp grilinctus bm,1,1195
tab medimox lc,1,1196
t cefixime 500 mg,1,1197
t dolo 650 mg,1,1198
tab wysolone 60 mg,1,1199
tab udiliv forte 600 mg,1,1200
tab becosules,1,1201
cholecalciferol 60k,1,1202
cap irisovit-cd,1,1203
syp sucrofil-o,1,1204
tab panloc md,1,1205
tab clonaz cv gold,1,1206
syp c-fan forte,1,1207
tab romilast,1,1208
cap formoclear,1,1209
tab nexton forte,1,1210
tab vildap,1,1211
cap uprise d3 60k iu,1,1212
levipil / leviprex (handwriting unclear),1,1213
one additional tablet (illegible),1,1214
impregyn (handwriting unclear),1,1215
mexton / mexon cdx (handwriting unclear),1,1216
syp dexorange,1,1217
tab orofer xt,1,1218
bandy plus,1,1219
tab calisra-cm,1,1220
udiliv 300 mg,1,1221
livomin syrup,1,1222
liv-52,1,1223
ointment (illegible),1,1224
chlorhexidine mouthwash,1,1225
actip (handwriting unclear),1,1226
ipalmin (handwriting unclear),1,1227
ecosprin gold,1,1228
tab caliska cm,1,1229
inj lantus,1,1230
syr looz,1,1231
tab taf,1,1232
tab glubnorm g forte,1,1233
tab glyda-m,1,1234
orofer-xt,1,1235
cal123 total,1,1236
dytor,1,1237
telma,1,1238
thyronorm 75 mcg,1,1239
cap ugeo-d [unclear],1,1240
tab olox-oz,1,1241
tab ugra 200 mg,1,1242
ringer's lactate,1,1243
tab iriscofer xt [unclear],1,1244
cream acyclovir,1,1245
inj merocrit,1,1246
inj emerset,1,1247
tab panedon mr,1,1248
tab monit gtn,1,1249
tab ecospirin av,1,1250
tab. drotin-ds,1,1251
cap bosumit,1,1252
flexon mr,1,1253
trazole dsr,1,1254
etoricoxib,1,1255
zerodol,1,1256
cap lyser-ls,1,1257
cap pan-dsr,1,1258
tab valivir,1,1259
tab neurokind next,1,1260
tab painvoid-ap,1,1261
tab resopez-ds,1,1262
ointment anoblis,1,1263
biopini forte,1,1264
pantoprazole infusion,1,1265
inj pctm,1,1266
glycomet gp2 (500),1,1267
supracal 2000,1,1268
inj perinorm,1,1269
inj drotin,1,1270
tab cetorico-xib-th [unclear],1,1271
tab nitrofur mr,1,1272
ipain,1,1273
caliska-cm,1,1274
vertin,1,1275
cap cefshine,1,1276
