document_uid,mentions
DOC_e75f68c544d8d1eb6f0c,6.0
DOC_59f9d90a224fc6c53588,4.0
DOC_829936880a4305e87155,7.0
DOC_e8907d79ffe93d04c387,2.0
DOC_e7742a472b73d35c2767,4.0
DOC_95e4918b6e27a2beec98,0.0
DOC_b8860a51f7217fd97e08,4.0
DOC_3d2bb6a349611be58a66,4.0
DOC_2a61b7cc0dd0f64ef806,0.0
DOC_882c3ffcead256ae51b5,4.0
DOC_8c78fb90022a2d26e54a,4.0
DOC_6799226df855c8982b20,0.0
DOC_b30d5fdbcc8599de908d,3.0
DOC_a16a62279744760e7712,0.0
DOC_665aa355f7ab6748608e,3.0
DOC_69ca132d6cc277a785f3,0.0
DOC_dd47679efe52535573ad,4.0
DOC_834fc3c6d7f1bed0b259,0.0
DOC_fd57a43547cb2248c5b0,4.0
DOC_cb499944bc98ae3da070,5.0
DOC_9145aec27c552424a725,5.0
DOC_65c8728487cf575ecd68,3.0
DOC_9572543ba93b1fbfe96e,5.0
DOC_ee05a526e64342f3db8d,3.0
DOC_4a70c0bc212875c2efe3,1.0
DOC_4db6cfee46e85cd18e00,3.0
DOC_0eb795c52c6fbca16194,1.0
DOC_d4c1dc76d5766e6c967b,0.0
DOC_e7c92cc24c7530ff5095,0.0
DOC_1140e65544eecc11ee07,2.0
DOC_8d74328364ef12f91168,2.0
DOC_39ec63594b20f3eb5a0d,4.0
DOC_c61c7395b66384044bed,2.0
DOC_e348f8a720def9caa1b6,4.0
DOC_8a5b1558c15a068b9888,0.0
DOC_0a7563234f5c5e380e27,6.0
DOC_fc9481503addd12ba2e1,0.0
DOC_73115ef23b6adff69346,6.0
DOC_6f72370c7d08f95d8ae2,4.0
DOC_d3b70844c992aad99367,3.0
DOC_4e3a40629cab68284d89,4.0
DOC_75bdddb68877196c269f,3.0
DOC_4150dcde4b6003562d75,4.0
DOC_68b74cd85798fd34993d,4.0
DOC_73874a7d5bcc27b939f4,4.0
DOC_8b277d7bfaa8e0b26b31,4.0
DOC_be4dff90098638427a36,3.0
DOC_b62966c6f5ea12e2bf3a,3.0
DOC_4c714859cf1fd33ec3a3,5.0
DOC_2aa9583d6614496297e2,3.0
DOC_886b7a3a33e801ac63a6,7.0
DOC_dfc8cd0109e18088f885,4.0
DOC_efb6b201ebb726fe4789,5.0
DOC_e984dd8996c9d1bb4ff5,4.0
DOC_b7a8ba8d804838a2f649,4.0
DOC_6e71e42e08260da438b7,2.0
DOC_61f5c48282c766c8819b,6.0
DOC_980c5297768d27c98992,0.0
DOC_bbe86b4e549c0837dddc,4.0
DOC_5ad4f431c07f6daf5abe,1.0
